City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Vaini,TO,82.56,few clouds,-21.2,-175.2,Nukuhetulu
1,Lapao,BR,69.44,clear sky,-11.3833,-41.8319,Lapão
2,Atuona,PF,79.03,light rain,-9.8,-139.0333,Atuona
6,Bowen,AU,82.71,overcast clouds,-20.0167,148.2333,Bowen
8,Saint-Philippe,RE,74.21,few clouds,-21.3585,55.7679,Saint-Philippe
9,Busselton,AU,69.57,overcast clouds,-33.65,115.3333,Busselton
10,Chimbote,PE,69.22,scattered clouds,-9.0853,-78.5783,Chimbote
11,San Policarpo,PH,82.53,few clouds,12.1791,125.5072,Oras
15,Rikitea,PF,79.95,broken clouds,-23.1203,-134.9692,Rikitea
16,Avarua,CK,82.45,broken clouds,-21.2078,-159.775,Avarua District
18,Mataura,NZ,62.44,overcast clouds,-46.1927,168.8643,Gore
20,Esperance,AU,76.84,overcast clouds,-33.8667,121.9,Esperance
21,Ponta Do Sol,PT,61.0,overcast clouds,32.6667,-17.1,Ribeira Brava
25,Port Alfred,ZA,63.54,few clouds,-33.5906,26.891,Port Alfred
26,Castro,BR,63.55,overcast clouds,-24.7911,-50.0119,Castro
27,Souillac,MU,75.58,scattered clouds,-20.5167,57.5167,Souillac
29,Kapaa,US,80.58,broken clouds,22.0752,-159.319,Kapaʻa
30,Itacare,BR,76.62,scattered clouds,-14.2775,-38.9967,Itacaré
32,Cidreira,BR,64.81,few clouds,-30.1811,-50.2056,CIDREIRA
37,Kavieng,PG,83.91,overcast clouds,-2.5744,150.7967,Kavieng
40,Kahului,US,77.85,clear sky,20.8947,-156.47,Kahului
41,Maragogi,BR,77.34,scattered clouds,-9.0122,-35.2225,Maragogi
42,Bredasdorp,ZA,60.98,light rain,-34.5322,20.0403,Bredasdorp
44,Kinshasa,CD,75.4,light rain,-4.3246,15.3215,Kinshasa
45,Guerrero Negro,MX,67.48,overcast clouds,27.9769,-114.0611,Guerrero Negro
46,Hobart,AU,74.23,few clouds,-42.8794,147.3294,Hobart
47,Abonnema,NG,79.07,overcast clouds,4.7084,6.7931,Abonema
48,Hithadhoo,MV,83.43,overcast clouds,-0.6,73.0833,Addu City
49,Bluff,NZ,60.62,overcast clouds,-46.6,168.3333,Bluff
52,Portland,US,60.82,overcast clouds,45.5234,-122.6762,Portland
54,Sinnamary,GF,77.43,overcast clouds,5.3833,-52.95,Sinnamary
55,Puerto Ayora,EC,77.31,moderate rain,-0.7393,-90.3518,Puerto Ayora
56,Dingle,PH,88.03,scattered clouds,10.9995,122.6711,Pototan
58,Airai,TL,73.29,broken clouds,-8.9266,125.4092,Atsabe
60,General Roca,AR,62.35,clear sky,-39.0333,-67.5833,General Roca
63,Umm Lajj,SA,61.56,clear sky,25.0213,37.2685,Umluj
64,Cape Town,ZA,61.27,clear sky,-33.9258,18.4232,Cape Town
65,Najran,SA,66.85,clear sky,17.4924,44.1277,Najran
67,Butaritari,KI,80.37,overcast clouds,3.0707,172.7902,Ukiangang
68,East London,ZA,63.46,light rain,-33.0153,27.9116,East London
71,Madimba,TZ,76.46,broken clouds,-10.4,40.3333,Madimba
72,San Cristobal,VE,73.58,overcast clouds,7.7669,-72.225,San Cristobal
73,Lorengau,PG,83.28,overcast clouds,-2.0226,147.2712,Lorengau
75,Quatre Cocos,MU,77.09,few clouds,-20.2078,57.7625,Central Flacq
78,Port Hedland,AU,93.25,few clouds,-20.3167,118.5667,Port Hedland
83,Hilo,US,79.11,clear sky,19.7297,-155.09,Hilo
84,Talwandi Bhai,IN,68.14,clear sky,30.85,74.9333,Talwandi Bhai
89,Half Moon Bay,US,65.88,mist,37.4636,-122.4286,Half Moon Bay
90,San Patricio,US,71.69,clear sky,28.017,-97.5169,Sinton
93,Mahebourg,MU,77.25,scattered clouds,-20.4081,57.7,Mahebourg
94,Tenenkou,ML,87.76,broken clouds,14.4572,-4.9169,Tenenkou
96,Port Elizabeth,ZA,63.32,clear sky,-33.918,25.5701,Gqeberha
99,Tabatinga,BR,72.97,light rain,-4.2525,-69.9381,Leticia
101,Geraldton,AU,77.41,broken clouds,-28.7667,114.6,Geraldton
102,Praia,CV,64.94,clear sky,14.9215,-23.5087,Praia
107,Laguna,US,78.4,few clouds,38.421,-121.4238,Sacramento
109,Lompoc,US,66.34,mist,34.6391,-120.4579,Lompoc
111,Porto Novo,BJ,84.02,few clouds,6.4965,2.6036,Porto-Novo
113,Poum,NC,80.89,overcast clouds,-20.2333,164.0167,Poum
114,Buala,SB,78.8,moderate rain,-8.145,159.5921,Buala
119,Swan Hill,AU,79.18,clear sky,-35.3378,143.5544,Swan Hill
121,Bonthe,SL,77.16,clear sky,7.5264,-12.505,Bonthe
122,Humaita,BR,75.16,light rain,-7.5061,-63.0208,Humaitá District
124,Gusau,NG,76.77,clear sky,12.1628,6.6614,Gusau
125,Kununurra,AU,87.78,scattered clouds,-15.7667,128.7333,Kununurra
127,Kaitangata,NZ,63.77,overcast clouds,-46.2817,169.8464,Kaitangata
128,Sechura,PE,72.16,overcast clouds,-5.5569,-80.8222,Sechura
130,Sao Domingos,BR,74.7,scattered clouds,-13.3983,-46.3183,São Domingos
131,Akyab,MM,81.41,few clouds,20.15,92.9,Sittwe
132,Keti Bandar,PK,76.68,clear sky,24.1447,67.4497,Keti Bandar
133,Nouadhibou,MR,61.99,few clouds,20.931,-17.0347,Nouadhibou
134,Ankazobe,MG,63.32,clear sky,-18.3167,47.1167,Ankazobe
135,Longhua,CN,75.43,overcast clouds,23.6137,114.1919,Huizhou
136,Pacific Grove,US,61.56,overcast clouds,36.6177,-121.9166,Monterey
137,Basco,PH,81.46,clear sky,20.4487,121.9702,Basco
138,Vanimo,PG,84.65,light rain,-2.6741,141.3028,Vanimo
142,Saint-Georges,GD,77.83,broken clouds,12.0564,-61.7485,Saint George's
143,Palapye,BW,64.18,light rain,-22.546,27.1251,Palapye
147,Arlit,NE,76.62,broken clouds,18.7369,7.3853,Arlit
148,Morondava,MG,77.27,clear sky,-20.2833,44.2833,Morondava
150,Ndele,CF,72.61,clear sky,8.4109,20.6473,N'Délé
151,Kure,JP,66.47,light rain,34.2333,132.5667,Kure
152,Isangel,VU,82.56,overcast clouds,-19.55,169.2667,Isangel
153,Sungairaya,ID,86.05,broken clouds,0.7,108.9,Soengairaja
