City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Punta Arenas,CL,2022-03-27 15:57:59,-53.15,-70.9167,48.31,66,0,19.57
1,New Norfolk,AU,2022-03-27 15:58:00,-42.7826,147.0587,62.71,62,98,3.44
2,Punta Cardon,VE,2022-03-27 15:58:00,11.6581,-70.215,82.08,69,21,25.12
3,Saskylakh,RU,2022-03-27 15:58:01,71.9167,114.0833,-4.97,99,100,4.14
4,Chokurdakh,RU,2022-03-27 15:58:01,70.6333,147.9167,-5.24,99,99,5.91
5,Bac Lieu,VN,2022-03-27 15:58:01,9.285,105.7244,83.68,69,8,5.84
6,Lebu,CL,2022-03-27 15:58:02,-37.6167,-73.65,61.29,68,72,6.55
7,Ushuaia,AR,2022-03-27 15:54:38,-54.8,-68.3,47.82,87,40,5.75
8,Kavieng,PG,2022-03-27 15:58:02,-2.5744,150.7967,80.98,78,99,6.78
9,East London,ZA,2022-03-27 15:58:03,-33.0153,27.9116,72.41,78,28,21.3
10,Lasem,ID,2022-03-27 15:58:03,-6.6922,111.4527,78.39,87,91,3.8
11,Vao,NC,2022-03-27 15:58:03,-22.6667,167.4833,76.1,73,80,18.32
12,Tiksi,RU,2022-03-27 15:58:04,71.6872,128.8694,-15.95,100,70,5.39
13,Puerto Ayora,EC,2022-03-27 15:58:04,-0.7393,-90.3518,82.36,80,70,10.42
14,Bredasdorp,ZA,2022-03-27 15:58:05,-34.5322,20.0403,70.18,67,100,12.44
15,Rikitea,PF,2022-03-27 15:58:05,-23.1203,-134.9692,78.69,67,4,11.14
16,Sorland,NO,2022-03-27 15:58:06,67.667,12.6934,40.86,83,100,31.16
17,Claresholm,CA,2022-03-27 15:58:06,50.0333,-113.5852,40.24,70,85,2.3
18,Provideniya,RU,2022-03-27 15:58:07,64.3833,-173.3,11.86,77,99,3.91
19,Lianzhou,CN,2022-03-27 15:58:07,24.7811,112.3825,53.4,93,96,3.4
20,Bluff,NZ,2022-03-27 15:58:07,-46.6,168.3333,52.75,89,13,2.53
21,Mindelo,CV,2022-03-27 15:58:08,16.8901,-24.9804,74.75,57,75,8.05
22,Pevek,RU,2022-03-27 15:58:08,69.7008,170.3133,-11.6,100,95,7.78
23,Port Elizabeth,ZA,2022-03-27 15:58:09,-33.918,25.5701,75.09,86,0,13.8
24,Albany,US,2022-03-27 15:58:09,42.6001,-73.9662,37.89,61,100,1.99
25,Iqaluit,CA,2022-03-27 15:58:10,63.7506,-68.5145,19.13,92,100,6.91
26,Georgetown,MY,2022-03-27 15:58:10,5.4112,100.3354,84.13,87,20,5.01
27,Nago,JP,2022-03-27 15:58:10,26.5881,127.9761,66.22,77,100,14.18
28,Tuktoyaktuk,CA,2022-03-27 15:58:11,69.4541,-133.0374,-18.4,69,0,9.22
29,Bathsheba,BB,2022-03-27 15:58:11,13.2167,-59.5167,84.81,61,40,19.57
30,Jackson,US,2022-03-27 15:58:12,42.4165,-122.8345,51.04,73,100,0.43
31,Hasaki,JP,2022-03-27 15:58:12,35.7333,140.8333,48.6,72,100,13.02
32,Jacmel,HT,2022-03-27 15:58:13,18.2342,-72.5347,82.22,64,72,6.13
33,Cherskiy,RU,2022-03-27 15:58:13,68.75,161.3,-0.67,98,100,7.07
34,Wanning,CN,2022-03-27 15:58:14,18.8003,110.3967,72.82,94,94,8.75
35,Kondopoga,RU,2022-03-27 15:58:14,62.2057,34.2614,28.08,78,43,8.14
36,Yellowknife,CA,2022-03-27 15:58:14,62.456,-114.3525,-0.58,81,20,9.22
37,Mataura,NZ,2022-03-27 15:58:15,-46.1927,168.8643,47.35,98,15,1.77
38,Adoni,IN,2022-03-27 15:58:15,15.6333,77.2833,91.99,22,11,7.45
39,Plettenberg Bay,ZA,2022-03-27 15:58:16,-34.0527,23.3716,67.41,83,100,6.29
40,Hobart,AU,2022-03-27 15:56:25,-42.8794,147.3294,63.05,68,93,4.61
41,Mar Del Plata,AR,2022-03-27 15:58:16,-38.0023,-57.5575,72.88,59,0,15.99
42,Avarua,CK,2022-03-27 15:58:17,-21.2078,-159.775,80.65,83,20,8.05
43,Warrnambool,AU,2022-03-27 15:58:17,-38.3833,142.4833,67.8,54,99,6.35
44,Barrow,US,2022-03-27 15:58:17,71.2906,-156.7887,-4.86,90,23,19.91
45,Kismayo,SO,2022-03-27 15:58:18,-0.3582,42.5454,82.29,80,47,13.85
46,Hualmay,PE,2022-03-27 15:58:18,-11.0964,-77.6139,74.61,73,39,9.98
47,San Felipe,VE,2022-03-27 15:58:19,10.3399,-68.7425,85.32,60,98,4.47
48,Westport,US,2022-03-27 15:57:40,41.1415,-73.3579,47.26,54,78,10.0
49,Dikson,RU,2022-03-27 15:58:19,73.5069,80.5464,-14.87,98,13,7.27
50,Ponta Do Sol,PT,2022-03-27 15:58:20,32.6667,-17.1,65.07,70,51,7.45
51,Taksimo,RU,2022-03-27 15:58:20,56.3444,114.8794,16.27,88,100,4.29
52,Nikolskoye,RU,2022-03-27 15:58:21,59.7035,30.7861,29.88,66,86,8.61
53,Vaini,TO,2022-03-27 15:58:21,-21.2,-175.2,75.36,94,40,4.61
54,Libenge,CD,2022-03-27 15:58:21,3.65,18.6333,98.44,22,20,2.01
55,Padang,ID,2022-03-27 15:58:22,-0.9492,100.3543,75.25,76,29,4.36
56,French Harbor,HN,2022-03-27 15:58:22,16.35,-86.4333,78.08,89,75,9.22
57,Butaritari,KI,2022-03-27 15:58:23,3.0707,172.7902,79.79,73,69,6.46
58,Sakakah,SA,2022-03-27 15:58:23,29.9697,40.2064,67.57,13,0,8.55
59,North Bend,US,2022-03-27 15:58:24,43.4065,-124.2243,53.92,100,100,1.14
60,Kapaa,US,2022-03-27 15:58:24,22.0752,-159.319,67.98,75,53,10.02
61,Meulaboh,ID,2022-03-27 15:57:04,4.1363,96.1285,79.2,81,93,2.44
62,Cervo,ES,2022-03-27 15:58:25,43.6702,-7.4101,58.23,71,36,2.39
63,Dhekiajuli,IN,2022-03-27 15:58:25,26.7,92.5,77.59,42,5,3.8
64,Vanavara,RU,2022-03-27 15:58:25,60.34,102.2797,16.16,92,100,10.07
65,Tamandare,BR,2022-03-27 15:58:26,-8.7597,-35.1047,82.89,75,72,10.04
66,Greencastle,US,2022-03-27 15:58:26,39.6445,-86.8647,35.22,48,0,18.41
67,Bend,US,2022-03-27 15:56:49,44.0582,-121.3153,46.6,80,0,5.75
68,Lompoc,US,2022-03-27 15:58:27,34.6391,-120.4579,57.56,80,100,24.0
69,Busselton,AU,2022-03-27 15:58:27,-33.65,115.3333,59.09,68,0,15.17
70,Tual,ID,2022-03-27 15:58:28,-5.6667,132.75,80.73,79,100,13.87
71,Atuona,PF,2022-03-27 15:58:28,-9.8,-139.0333,78.84,77,23,18.59
72,Cape Town,ZA,2022-03-27 15:54:12,-33.9258,18.4232,81.01,27,0,9.22
73,Norman Wells,CA,2022-03-27 15:58:28,65.282,-126.8329,-0.36,78,100,0.0
74,Sambava,MG,2022-03-27 15:58:29,-14.2667,50.1667,79.5,83,41,4.54
75,Port Alfred,ZA,2022-03-27 15:58:29,-33.5906,26.891,72.18,80,60,8.01
76,Anchorage,US,2022-03-27 15:58:14,61.2181,-149.9003,30.34,80,95,3.0
77,Jamestown,US,2022-03-27 15:57:40,42.097,-79.2353,23.02,67,100,23.02
78,Airai,TL,2022-03-27 15:58:30,-8.9266,125.4092,60.67,94,100,0.83
79,Ribeira Grande,PT,2022-03-27 15:58:30,38.5167,-28.7,66.6,63,20,16.11
80,San Pedro,PH,2022-03-27 15:54:46,14.35,121.0167,83.35,74,20,3.44
81,Marathon,US,2022-03-27 15:58:31,44.9,-89.7668,20.44,49,0,13.8
82,Jatai,BR,2022-03-27 15:58:31,-17.8814,-51.7144,78.55,70,100,2.75
83,Ribeira Brava,PT,2022-03-27 15:58:31,32.65,-17.0667,65.07,73,49,6.93
84,Hilo,US,2022-03-27 15:58:32,19.7297,-155.09,69.53,88,100,6.91
85,Upernavik,GL,2022-03-27 15:58:32,72.7868,-56.1549,26.15,70,100,0.81
86,Tuatapere,NZ,2022-03-27 15:58:32,-46.1333,167.6833,50.43,94,13,2.15
87,Longyearbyen,SJ,2022-03-27 15:58:33,78.2186,15.6401,6.64,66,20,11.5
88,Ordu,TR,2022-03-27 15:58:33,40.9086,37.6845,33.17,84,99,7.85
89,Salinas,US,2022-03-27 15:58:34,36.6777,-121.6555,52.07,95,100,2.1
90,Narsaq,GL,2022-03-27 15:58:34,60.9167,-46.05,37.78,56,100,13.85
91,Bambous Virieux,MU,2022-03-27 15:58:34,-20.3428,57.7575,82.65,74,40,2.3
92,Ugoofaaru,MV,2022-03-27 15:58:35,5.6667,73.0,83.03,71,16,10.47
93,Hofn,IS,2022-03-27 15:58:35,64.2539,-15.2082,37.42,70,100,17.27
94,Dangara,IN,2022-03-27 15:58:36,29.6799,75.8931,80.2,9,0,7.2
95,Fortuna,US,2022-03-27 15:58:36,40.5982,-124.1573,49.66,97,0,0.0
96,Marawi,PH,2022-03-27 15:58:37,7.9986,124.2928,67.64,94,99,0.85
97,Arraial Do Cabo,BR,2022-03-27 15:55:51,-22.9661,-42.0278,87.76,74,0,10.36
98,Nanortalik,GL,2022-03-27 15:58:37,60.1432,-45.2371,30.47,83,100,5.44
99,Mahebourg,MU,2022-03-27 15:58:37,-20.4081,57.7,82.69,74,40,2.3
100,Staunton,US,2022-03-27 15:58:38,38.1496,-79.0717,41.52,38,100,17.27
101,Pak Phanang,TH,2022-03-27 15:58:38,8.3511,100.202,82.78,75,0,3.13
102,Khasan,RU,2022-03-27 15:58:39,42.4308,130.6434,37.87,51,0,15.23
103,Hamilton,US,2022-03-27 15:57:49,39.1834,-84.5333,36.88,55,58,5.99
104,Sobolevo,RU,2022-03-27 15:58:39,54.4299,31.8996,25.92,60,46,14.43
105,Dingle,PH,2022-03-27 15:58:40,10.9995,122.6711,77.27,85,97,6.22
106,Pisco,PE,2022-03-27 15:58:40,-13.7,-76.2167,73.02,68,0,5.75
107,Tawau,MY,2022-03-27 15:58:40,4.2498,117.8871,75.33,94,75,1.01
108,Clyde River,CA,2022-03-27 15:58:41,70.4692,-68.5914,-1.97,78,100,10.36
109,Puerto Leguizamo,CO,2022-03-27 15:58:41,-0.1934,-74.7819,73.63,97,100,1.48
110,Puerto Escondido,MX,2022-03-27 15:58:42,15.85,-97.0667,84.4,50,30,5.1
111,Montelibano,CO,2022-03-27 15:58:42,7.9829,-75.4229,88.09,56,97,3.67
112,Castro,BR,2022-03-27 15:58:42,-24.7911,-50.0119,78.3,56,1,5.19
113,Port Moresby,PG,2022-03-27 15:58:43,-9.4431,147.1797,76.42,94,40,11.5
114,San Policarpo,PH,2022-03-27 15:58:43,12.1791,125.5072,80.58,81,79,10.25
115,Thompson,CA,2022-03-27 15:58:44,55.7435,-97.8558,-7.44,54,0,2.3
116,Natal,BR,2022-03-27 15:58:44,-5.795,-35.2094,86.65,74,75,14.97
117,Irbil,IQ,2022-03-27 15:58:44,36.1926,44.0106,55.22,44,20,4.61
118,Chuy,UY,2022-03-27 15:58:45,-33.6971,-53.4616,79.34,42,13,12.75
119,Saint-Philippe,RE,2022-03-27 15:58:45,-21.3585,55.7679,81.99,86,85,5.91
120,Ukiah,US,2022-03-27 15:58:46,39.1502,-123.2078,57.36,88,100,4.21
121,Cabedelo,BR,2022-03-27 15:57:43,-6.9811,-34.8339,86.67,72,95,11.95
122,Grand Gaube,MU,2022-03-27 15:58:46,-20.0064,57.6608,82.8,80,27,3.0
123,Touros,BR,2022-03-27 15:58:47,-5.1989,-35.4608,86.58,64,96,13.15
124,Khatanga,RU,2022-03-27 15:58:47,71.9667,102.5,-14.69,98,95,6.31
125,Coihaique,CL,2022-03-27 15:58:47,-45.5752,-72.0662,48.81,81,100,3.44
126,Sao Filipe,CV,2022-03-27 15:58:48,14.8961,-24.4956,70.63,73,71,9.66
